         6841678 function calls (6787189 primitive calls) in 13.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6503    0.015    0.000    0.032    0.000 managers.py:139(shape)
     1625    0.011    0.000    0.032    0.000 managers.py:306(_verify_integrity)
        8    0.032    0.004    0.032    0.004 message.py:1469(unpack)
    16801    0.014    0.000    0.032    0.000 common.py:746(is_dtype_equal)
     6330    0.005    0.000    0.031    0.000 arrays.py:7(extract_array)
     6335    0.008    0.000    0.030    0.000 generic.py:5122(_protect_consolidate)
     1809    0.002    0.000    0.030    0.000 common.py:1431(needs_i8_conversion)
      328    0.001    0.000    0.029    0.000 range.py:272(_shallow_copy)
     2488    0.005    0.000    0.029    0.000 datetimelike.py:729(_hasnans)
    50618    0.029    0.000    0.029    0.000 _weakrefset.py:70(__contains__)
     1900    0.005    0.000    0.028    0.000 numpy_.py:127(__init__)
    42163    0.020    0.000    0.028    0.000 common.py:1809(_get_dtype)
     6305    0.007    0.000    0.027    0.000 ops.py:43(get_op_result_name)
    18173    0.026    0.000    0.026    0.000 generic.py:127(__init__)
     1621    0.005    0.000    0.025    0.000 numeric.py:34(__new__)
   197268    0.025    0.000    0.025    0.000 collection.py:310(database)
      865    0.003    0.000    0.025    0.000 managers.py:934(get)
      603    0.001    0.000    0.024    0.000 common.py:1320(is_datetimelike_v_numeric)
    25945    0.017    0.000    0.023    0.000 series.py:399(name)
     1900    0.009    0.000    0.023    0.000 numpy_.py:35(__init__)
    24063    0.019    0.000    0.023    0.000 blocks.py:199(mgr_locs)
     4682    0.020    0.000    0.022    0.000 _validators.py:325(validate_fillna_kwargs)
      865    0.002    0.000    0.022    0.000 frame.py:3342(_box_item_values)
     2488    0.003    0.000    0.022    0.000 datetimes.py:686(_assert_tzawareness_compat)
    20606    0.021    0.000    0.021    0.000 generic.py:5053(__getattr__)
     7957    0.006    0.000    0.021    0.000 generic.py:377(_get_axis)
     6335    0.009    0.000    0.021    0.000 generic.py:5135(f)
    37666    0.012    0.000    0.020    0.000 common.py:119(<lambda>)
     4058    0.009    0.000    0.020    0.000 numeric.py:2656(seterr)
      134    0.000    0.000    0.019    0.000 function_base.py:4641(append)
     1655    0.001    0.000    0.019    0.000 common.py:1078(is_datetime64_any_dtype)
     6333    0.011    0.000    0.019    0.000 base.py:3918(__contains__)
     4010    0.005    0.000    0.019    0.000 common.py:1545(is_float_dtype)
     6185    0.006    0.000    0.018    0.000 common.py:868(is_integer_dtype)
     2632    0.018    0.000    0.018    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
    19509    0.005    0.000    0.018    0.000 managers.py:141(<genexpr>)
      865    0.005    0.000    0.017    0.000 managers.py:963(iget)
        3    0.000    0.000    0.017    0.006 construction.py:382(to_arrays)
    36022    0.013    0.000    0.017    0.000 base.py:652(__len__)
     4684    0.008    0.000    0.017    0.000 inference.py:381(is_dict_like)
     5496    0.009    0.000    0.017    0.000 datetimes.py:1979(_validate_dt64_dtype)
        2    0.000    0.000    0.017    0.008 construction.py:469(_list_of_dict_to_arrays)
    12700    0.008    0.000    0.017    0.000 datetimes.py:538(tz)
     1700    0.003    0.000    0.016    0.000 common.py:1578(is_bool_dtype)
     2406    0.013    0.000    0.016    0.000 dtypes.py:786(construct_from_string)
     6802    0.008    0.000    0.016    0.000 dtypes.py:672(construct_from_string)
     8549    0.016    0.000    0.016    0.000 dtypes.py:452(construct_from_string)
      263    0.001    0.000    0.016    0.000 arraysetops.py:151(unique)
      865    0.002    0.000    0.016    0.000 frame.py:3349(_box_col_values)
    19838    0.009    0.000    0.015    0.000 base.py:5318(ensure_index)
      891    0.001    0.000    0.015    0.000 ops.py:1591(_comp_method_OBJECT_ARRAY)
    51486    0.015    0.000    0.015    0.000 blocks.py:308(dtype)
     2029    0.002    0.000    0.014    0.000 numeric.py:3058(__enter__)
    11032    0.014    0.000    0.014    0.000 {numpy.empty}
     1639    0.005    0.000    0.013    0.000 base.py:504(_simple_new)
     1322    0.013    0.000    0.013    0.000 {pandas._libs.algos.take_2d_axis0_bool_bool}
     9517    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
    24062    0.012    0.000    0.012    0.000 blocks.py:89(_check_ndim)
     4457    0.004    0.000    0.012    0.000 common.py:1784(_is_dtype)
     1604    0.003    0.000    0.012    0.000 blocks.py:2094(__init__)
     2341    0.004    0.000    0.012    0.000 ops.py:1447(_align_method_SERIES)
     1614    0.012    0.000    0.012    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
     1798    0.004    0.000    0.012    0.000 blocks.py:2626(__init__)
     2557    0.002    0.000    0.011    0.000 common.py:605(is_string_dtype)
  390/130    0.001    0.000    0.011    0.000 {operator.eq}
     7959    0.008    0.000    0.011    0.000 generic.py:363(_get_axis_name)
    55968    0.011    0.000    0.011    0.000 blocks.py:195(mgr_locs)
      891    0.011    0.000    0.011    0.000 {pandas._libs.ops.scalar_compare}
    16651    0.011    0.000    0.011    0.000 {method 'view' of 'numpy.ndarray' objects}
     4985    0.003    0.000    0.011    0.000 series.py:476(_values)
   197243    0.011    0.000    0.011    0.000 {method 'popleft' of 'collections.deque' objects}
     2488    0.007    0.000    0.010    0.000 datetimelike.py:722(_isnan)
    43247    0.010    0.000    0.010    0.000 managers.py:1488(_block)
     9286    0.008    0.000    0.010    0.000 range.py:510(__len__)
     4976    0.008    0.000    0.010    0.000 datetimes.py:353(_simple_new)
    15697    0.008    0.000    0.010    0.000 inference.py:438(is_hashable)
     6304    0.008    0.000    0.010    0.000 generic.py:349(_get_axis_number)
    37666    0.010    0.000    0.010    0.000 common.py:117(classes)
     4813    0.002    0.000    0.010    0.000 missing.py:25(isna)
     4976    0.010    0.000    0.010    0.000 {method 'view' of 'numpy.generic' objects}
     2029    0.002    0.000    0.010    0.000 numeric.py:3063(__exit__)
    22040    0.005    0.000    0.010    0.000 {hash}
     7527    0.009    0.000    0.009    0.000 {numpy.arange}
     4970    0.003    0.000    0.009    0.000 series.py:434(values)
        4    0.000    0.000    0.009    0.002 construction.py:43(arrays_to_mgr)
     4792    0.003    0.000    0.009    0.000 {pandas._libs.lib.values_from_object}
     1809    0.002    0.000    0.009    0.000 common.py:1198(is_datetime_or_timedelta_dtype)
     1644    0.002    0.000    0.009    0.000 {sum}
     3971    0.004    0.000    0.008    0.000 _dtype.py:190(_datetime_metadata_str)
     2341    0.001    0.000    0.008    0.000 ops.py:1787(na_op)
     1322    0.008    0.000    0.008    0.000 {pandas._libs.algos.take_2d_axis0_int32_int32}
    16550    0.008    0.000    0.008    0.000 series.py:382(_set_subtyp)
      134    0.000    0.000    0.008    0.000 fromnumeric.py:1583(ravel)
     1620    0.003    0.000    0.008    0.000 missing.py:360(array_equivalent)
     4985    0.006    0.000    0.008    0.000 managers.py:1549(internal_values)
4723/4707    0.002    0.000    0.008    0.000 {all}
     9382    0.004    0.000    0.008    0.000 managers.py:376(<dictcomp>)
     2357    0.004    0.000    0.007    0.000 ops.py:66(_maybe_match_name)
     4813    0.004    0.000    0.007    0.000 missing.py:105(_isna_new)
        3    0.000    0.000    0.007    0.002 construction.py:484(_convert_object_array)
       26    0.000    0.000    0.007    0.000 construction.py:495(convert)
     9131    0.005    0.000    0.007    0.000 managers.py:308(<genexpr>)
     2406    0.004    0.000    0.007    0.000 dtypes.py:929(construct_from_string)
     9370    0.003    0.000    0.007    0.000 inference.py:406(<genexpr>)
     2341    0.007    0.000    0.007    0.000 {operator.and_}
     4058    0.006    0.000    0.007    0.000 numeric.py:2758(geterr)
     6335    0.004    0.000    0.007    0.000 managers.py:911(consolidate)
    26672    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     1513    0.001    0.000    0.007    0.000 series.py:490(get_values)
     1671    0.002    0.000    0.006    0.000 common.py:923(is_signed_integer_dtype)
     4970    0.004    0.000    0.006    0.000 managers.py:1546(external_values)
       13    0.000    0.000    0.006    0.000 series.py:3947(isin)
     4976    0.003    0.000    0.006    0.000 datetimelike.py:351(asi8)
     9383    0.005    0.000    0.006    0.000 _validators.py:221(validate_bool_kwarg)
        1    0.000    0.000    0.006    0.006 frame.py:4605(drop_duplicates)
     4874    0.003    0.000    0.006    0.000 base.py:3608(values)
     7882    0.004    0.000    0.006    0.000 common.py:127(<lambda>)
     2488    0.004    0.000    0.006    0.000 datetimelike.py:1537(maybe_infer_freq)
     3240    0.002    0.000    0.005    0.000 base.py:3663(get_values)
     1513    0.003    0.000    0.005    0.000 managers.py:1556(get_values)
       27    0.005    0.000    0.005    0.000 {pandas._libs.lib.maybe_convert_objects}
        4    0.000    0.000    0.005    0.001 managers.py:1663(create_block_manager_from_arrays)
        1    0.000    0.000    0.005    0.005 frame.py:4639(duplicated)
     1625    0.001    0.000    0.005    0.000 series.py:591(__len__)
     1619    0.002    0.000    0.005    0.000 generic.py:1814(__hash__)
     1262    0.002    0.000    0.005    0.000 range.py:330(equals)
     5989    0.004    0.000    0.005    0.000 base.py:613(is_)
        2    0.005    0.002    0.005    0.002 {pandas._libs.lib.dicts_to_array}
     2488    0.005    0.000    0.005    0.000 {pandas._libs.tslibs.conversion.pydt_to_i8}
       13    0.000    0.000    0.005    0.000 algorithms.py:370(isin)
     2488    0.001    0.000    0.005    0.000 datetimelike.py:663(maybe_unwrap_index)
       32    0.000    0.000    0.005    0.000 algorithms.py:38(_ensure_data)
     2399    0.003    0.000    0.004    0.000 sparse.py:196(construct_from_string)
     1585    0.003    0.000    0.004    0.000 generic.py:3175(_set_is_copy)
     2423    0.002    0.000    0.004    0.000 common.py:1118(is_datetime64_ns_dtype)
     1732    0.001    0.000    0.004    0.000 base.py:2650(get_loc)
     1900    0.001    0.000    0.004    0.000 common.py:1167(is_timedelta64_ns_dtype)
     1621    0.002    0.000    0.004    0.000 generic.py:381(_get_block_manager_axis)
        1    0.000    0.000    0.004    0.004 concat.py:24(concat)
     1628    0.002    0.000    0.004    0.000 base.py:547(_get_attributes_dict)
        4    0.000    0.000    0.004    0.001 managers.py:1696(form_blocks)
     6364    0.003    0.000    0.004    0.000 common.py:316(apply_if_callable)
     1130    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.generic' objects}
        4    0.000    0.000    0.004    0.001 construction.py:254(_homogenize)
      263    0.003    0.000    0.004    0.000 arraysetops.py:299(_unique1d)
        2    0.002    0.001    0.004    0.002 {pandas._libs.lib.fast_unique_multiple_list_gen}
     9138    0.003    0.000    0.004    0.000 managers.py:143(ndim)
